,0
risk_score,0.3211033126720872
G3,0.1423438538308188
passed_final,0.09849879071630269
dropout_label_rule,0.09422347844291172
avg_grade,0.08365932891004806
G2,0.0601507679836313
absences,0.04477809099946754
G1,0.03643753308605487
grade_trend,0.032746807367399516
failures,0.012984492095775495
age,0.00530726840612866
freetime,0.004333082407570399
Walc,0.00417625261563982
health,0.0038209758042227707
goout,0.003794488216496394
famrel,0.00378687550729578
Fedu,0.0035997122172117778
Dalc,0.003379251880639304
Medu,0.0033301882955445727
higher_yes,0.0031371230550799206
studytime,0.003004763089046228
romantic_yes,0.0022893390044214233
traveltime,0.001785871424643288
famsup_yes,0.0017310900444513877
famsize_LE3,0.0016403046120125222
school_MS,0.0015959352835481224
activities_yes,0.001503580116788749
guardian_other,0.001476694548668719
sex_M,0.0014514673936082594
Fjob_services,0.0014386297367826504
address_U,0.0014367134244511522
reason_home,0.0014324251745624931
nursery_yes,0.001334468741049914
Fjob_other,0.0013058308961340693
guardian_mother,0.0012844158613612054
Mjob_other,0.0012783447371628137
paid_yes,0.0010893040080261233
schoolsup_yes,0.0010257445417985538
internet_yes,0.001018396124276568
Mjob_services,0.0009674265967366113
reason_reputation,0.0008968951456338567
Pstatus_T,0.0008269164346341938
Fjob_health,0.0007887725984586491
Mjob_teacher,0.0005450366505411579
Mjob_health,0.0004623823944838186
reason_other,0.0004605968573446636
Fjob_teacher,0.00033698004904629623
